column,Parameter Name,View,Format,Units,Description
1,jdate,L,13.4f,day,"Julian date of the source measurement accurate to ±3 minutes. This value is the mean Julian date of the scan observation in which this source falls. For a more precise value of Julian date for this source, see the jdate entry in the PSC using the pts_key index as a cross-reference. "
2,designation,S,17s,-,"Source designation formed from sexigesimal coordinates.
This is the object sequence designation, or object ""name"" as specified by the IAU recommendations on source nomenclature. It is derived from the J2000 sexigesimal coordinates of the source and has the form HHMMSSSS+/-DDMMSSS, where HH are the hours of right ascension, MM the RA minutes and SSS are the deci-seconds of RA. DD are the degrees in declination, MM are DEC minutes and SS the declination seconds. Note that both the RA deci-seconds of time and DEC seconds of arc are truncated rather than rounded, per the IAU recommendation. The full naming convention for 2MASS All-Sky Release sources has the form ""2MASX Jhhmmssss+ddmmsss[ABC...]"", where ""2MASX"" indicates that the source is from the All-Sky XSC, ""J"" indicates the position is J2000, and the optional trailing letters are used to distinguish sources with otherwise duplicate names. The ""2MASX J"" prefix is not listed explicitly in the designation column."
3,ra,S,10.6f,deg,Right ascension (J2000 decimal deg) based on peak pixel.
4,dec/decl,S,10.6f,deg,Declination (J2000 decimal deg) based on peak pixel.
5,sup_ra,L,10.6f,deg,Super-coadd centroid RA (J2000 decimal deg).
6,sup_dec,L,10.6f,deg,Super-coadd centroid Dec (J2000 decimal deg).
7,glon,L,7.3f,deg,"Galactic longitude (decimal deg) based on peak pixel. Galactic coordinate for 2MASS source derived by precessing reconstructed ra and dec to B1950, and performing rotational transformation into lII, bII coordinate system. This coordinate should not be used as an astrometric reference because it has been rounded to 0.001 deg. "
8,glat,L,7.3f,deg,"Galactic latitude (decimal deg) based on peak pixel. Galactic coordinate for 2MASS source derived by precessing reconstructed ra and dec to B1950, and performing rotational transformation into lII, bII coordinate system. This coordinate should not be used as an astrometric reference because it has been rounded to 0.001 deg. "
9,density,L,5.2f,-,"Coadd log(density) of stars with k<14 mag. See Stellar Number Density Metric: ""density"". "
10,r_k20fe,S,6.1f,arcsec,"20mag/sq."" isophotal K fiducial ell. ap. semi-major axis.
""Fiducial"" apertures are determined for each type of total and isophotal photometry measurements as described in the GALWORKS SDS. Essentially, they are used to make mag measurements for each type of photometry with the same aperture size in all three bands. The fiducial band for the total Kron photometry and 20mag/sq."" isophotal photometry is the K band, and for the 21mag/sq."" isophotal photometry it is the J band. 
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
11,j_m_k20fe,S,6.3f,mag,"J 20mag/sq."" isophotal fiducial ell. ap. magnitude.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
12,j_msig_k20fe,S,5.3f,mag,"J 1-sigma uncertainty in 20mag/sq."" iso.fid.ell.mag."
13,j_flg_k20fe,S,1hd,-,"J confusion flag for 20mag/sq."" iso. fid. ell. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
14,h_m_k20fe,S,6.3f,mag,"H 20mag/sq."" isophotal fiducial ell. ap. magnitude.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
15,h_msig_k20fe,S,5.3f,mag,"H 1-sigma uncertainty in 20mag/sq."" iso.fid.ell.mag."
16,h_flg_k20fe,S,1hd,-,"H confusion flag for 20mag/sq."" iso. fid. ell. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
17,k_m_k20fe,S,6.3f,mag,"K 20mag/sq."" isophotal fiducial ell. ap. magnitude.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
18,k_msig_k20fe,S,5.3f,mag,"K 1-sigma uncertainty in 20mag/sq."" iso.fid.ell.mag."
19,k_flg_k20fe,S,1hd,-,"K confusion flag for 20mag/sq."" iso. fid. ell. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
20,r_3sig,L,5.1f,arcsec,3-sigma K isophotal semi-major axis.
21,j_ba,L,5.3f,-,J minor/major axis ratio fit to the 3-sigma isophote.
22,j_phi,L,3hd,deg,J angle to 3-sigma major axis (E of N).
23,h_ba,L,5.3f,-,H minor/major axis ratio fit to the 3-sigma isophote.
24,h_phi,L,3hd,deg,H angle to 3-sigma major axis (E of N).
25,k_ba,S,5.3f,-,K minor/major axis ratio fit to the 3-sigma isophote.
26,k_phi,S,3hd,deg,K angle to 3-sigma major axis (E of N).
27,sup_r_3sig,L,5.1f,arcsec,Super-coadd 3-sigma isophotal semi-major axis radius.
28,sup_ba,S,5.3f,-,Minor/major axis ratio fit to 3-sig. super-coadd isophote.
29,sup_phi,S,3hd,deg,Super-coadd angle to major axis (E of N).
30,r_fe,L,6.1f,arcsec,"K fiducial Kron elliptical aperture semi-major axis.
""Fiducial"" apertures are determined for each type of total and isophotal photometry measurements as described in the GALWORKS SDS. Essentially, they are used to make mag measurements for each type of photometry with the same aperture size in all three bands. The fiducial band for the total Kron photometry and 20mag/sq."" isophotal photometry is the K band, and for the 21mag/sq."" isophotal photometry it is the J band. 
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
31,j_m_fe,L,6.3f,mag,"J fiducial Kron elliptical aperture magnitude.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
32,j_msig_fe,L,5.3f,mag,J 1-sigma uncertainty in fiducial Kron ell. mag.
33,j_flg_fe,L,1hd,-,"J confusion flag for fiducial Kron ell. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
34,h_m_fe,L,6.3f,mag,"H fiducial Kron elliptical aperture magnitude.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
35,h_msig_fe,L,5.3f,mag,H 1-sigma uncertainty in fiducial Kron ell. mag.
36,h_flg_fe,L,1hd,-,"H confusion flag for fiducial Kron ell. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
37,k_m_fe,L,6.3f,mag,"K fiducial Kron ell. mag aperture magnitude.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
38,k_msig_fe,L,5.3f,mag,K 1-sigma uncertainty in fiducial Kron ell. mag.
39,k_flg_fe,L,1hd,-,"K confusion flag for fiducial Kron ell. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
40,r_ext,S,7.2f,arcsec,"extrapolation/total radius.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
41,j_m_ext,S,6.3f,mag,"J mag from fit extrapolation.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
42,j_msig_ext,L,5.3f,mag,J 1-sigma uncertainty in mag from fit extrapolation.
43,j_pchi,S,6.3f,-,"J chi^2 of fit to rad. profile (LCSB: alpha scale len).
If the source is not an LCSB, these fields contain the reduced chi-squared values for each band of the modified exponential fits to the elliptical radial profiles, used for extrapolation and half-light estimates. For LCSBs, they contain the alpha scale lengths."
44,h_m_ext,S,6.3f,mag,"H mag from fit extrapolation.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
45,h_msig_ext,S,5.3f,mag,H 1-sigma uncertainty in mag from fit extrapolation.
46,h_pchi,L,6.3f,-,"H chi^2 of fit to rad. profile (LCSB: alpha scale len).
If the source is not an LCSB, these fields contain the reduced chi-squared values for each band of the modified exponential fits to the elliptical radial profiles, used for extrapolation and half-light estimates. For LCSBs, they contain the alpha scale lengths."
47,k_m_ext,S,6.3f,mag,"K mag from fit extrapolation.
See Large Aperture Photometry: Profile Fitting, Isophotal & Total Mags. "
48,k_msig_ext,S,5.3f,mag,K 1-sigma uncertainty in mag from fit extrapolation.
49,k_pchi,L,6.3f,-,"K chi^2 of fit to rad. profile (LCSB: alpha scale len).
If the source is not an LCSB, these fields contain the reduced chi-squared values for each band of the modified exponential fits to the elliptical radial profiles, used for extrapolation and half-light estimates. For LCSBs, they contain the alpha scale lengths."
50,j_r_eff,L,6.2f,arcsec,"J half-light (integrated half-flux point) radius. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam. "
51,j_mnsurfb_eff,L,5.2f,mag,"J mean surface brightness at the half-light radius. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam. "
52,h_r_eff,L,6.2f,arcsec,"H half-light (integrated half-flux point) radius. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam. "
53,h_mnsurfb_eff,L,5.2f,mag,"H mean surface brightness at the half-light radius. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam. "
54,k_r_eff,L,6.2f,arcsec,"K half-light (integrated half-flux point) radius. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam. "
55,k_mnsurfb_eff,L,5.2f,mag,"K mean surface brightness at the half-light radius. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam. "
56,j_con_indx,L,5.2f,-,"J concentration index r_75%/r_25%.
The concentration index for the galaxy in each band is the ratio of the radii which contain 75% and 25% of the total light, r_75%/r_25%. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam."
57,h_con_indx,L,5.2f,-,"H concentration index r_75%/r_25%.
The concentration index for the galaxy in each band is the ratio of the radii which contain 75% and 25% of the total light, r_75%/r_25%. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam."
58,k_con_indx,L,5.2f,-,"K concentration index r_75%/r_25%.
The concentration index for the galaxy in each band is the ratio of the radii which contain 75% and 25% of the total light, r_75%/r_25%. 
See Half-Light ""Effective"" Aperture & Concentration Index 
Beware the circularizing effect of the PSF on small galaxies. See The 2MASS Beam."
59,j_peak,L,6.2f,mag,J peak pixel brightness.
60,h_peak,L,6.2f,mag,H peak pixel brightness.
61,k_peak,L,6.2f,mag,K peak pixel brightness.
62,j_5surf,L,6.2f,mag,J central surface brightness (r<=5).
63,h_5surf,L,6.2f,mag,H central surface brightness (r<=5).
64,k_5surf,L,6.2f,mag,K central surface brightness (r<=5).
65,e_score,L,5.2f,-,"extended score: 1(extended) < e_score < 2(point-like).
See the FAQ: Star-Galaxy Separation: How do the E and G-scores work? "
66,g_score,L,5.2f,-,"galaxy score: 1(extended) < g_score < 2(point-like).
See the FAQ: Star-Galaxy Separation: How do the E and G-scores work? "
67,vc,L,2hd,-,"visual verification score for source.
The visual classification score gives the source type for those sources examined ""by eye"":
-2 = unknown 
-1 = no verification (i.e., not examined) 
1 = galaxy 
2 = non-extended (e.g., star, double, triple, artifact) 
See Visual Inspection of Extended Sources"
68,cc_flg,S,1s,-,"indicates artifact contamination and/or confusion.
The contamination/confusion flag indicates whether the source's photometry and position may be affected by artifacts of, or confusion with, nearby bright stars. The flag consists of a single character string. Sources are tested for contamination and/or confusion in the order given below, and once a flag is applied to the source, testing is stopped in that band. The flag values indicate the source may be:
U: unreliable source; probable image artifact detection
C: affected by confusion with or artifact of a nearby bright star
A or a: known artifacts
z: in close promity to a large galaxy; these sources are usually junk
Z: Derived from the Large Galaxy Atlas
0: default value -- not contaminated
See Extended Source Confusion Flag"
69,im_nx,L,4hd,-,"size of postage stamp image in pixels.
To access the XSC postage stamp images (both jpeg and FITS versions), click 2MASS All-Sky XSC Full-Resolution Image Server"
70,r_k20fc,L,5.1f,arcsec,"20mag/sq."" isophotal K fiducial circular ap. radius.
""Fiducial"" apertures are determined for each type of total and isophotal photometry measurements as described in the GALWORKS SDS. Essentially, they are used to make mag measurements for each type of photometry with the same aperture size in all three bands. The fiducial band for the total Kron photometry and 20mag/sq."" isophotal photometry is the K band, and for the 21mag/sq."" isophotal photometry it is the J band. Cautionary note: A negative value in this column indicates that the source measurement was corrupted, usually due to confusion from a nearby source, and the derived radius is not meaningful."
71,j_m_k20fc,L,6.3f,mag,"J 20mag/sq."" isophotal fiducial circ. ap. mag."
72,j_msig_k20fc,L,5.3f,mag,"J 1-sigma uncertainty in 20mag/sq."" iso.fid.circ. mag."
73,j_flg_k20fc,L,1hd,-,"J confusion flag for 20mag/sq."" iso. fid. circ. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
74,h_m_k20fc,L,6.3f,mag,"H 20mag/sq."" isophotal fiducial circ. ap. mag."
75,h_msig_k20fc,L,5.3f,mag,"H 1-sigma uncertainty in 20mag/sq."" iso.fid.circ. mag."
76,h_flg_k20fc,L,1hd,-,"H confusion flag for 20mag/sq."" iso. fid. circ. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
77,k_m_k20fc,L,6.3f,mag,"K 20mag/sq."" isophotal fiducial circ. ap. mag."
78,k_msig_k20fc,L,5.3f,mag,"K 1-sigma uncertainty in 20mag/sq."" iso.fid.circ. mag."
79,k_flg_k20fc,L,1hd,-,"K confusion flag for 20mag/sq."" iso. fid. circ. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
80,j_r_e,L,5.1f,arcsec,J Kron elliptical aperture semi-major axis.
81,j_m_e,L,6.3f,mag,J Kron elliptical aperture magnitude.
82,j_msig_e,L,5.3f,mag,J 1-sigma uncertainty in Kron elliptical mag.
83,j_flg_e,L,1hd,-,"J confusion flag for Kron elliptical mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
84,h_r_e,L,5.1f,arcsec,H Kron elliptical aperture semi-major axis.
85,h_m_e,L,6.3f,mag,H Kron elliptical aperture magnitude.
86,h_msig_e,L,5.3f,mag,H 1-sigma uncertainty in Kron elliptical mag.
87,h_flg_e,L,1hd,-,"H confusion flag for Kron elliptical mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
88,k_r_e,L,5.1f,arcsec,K Kron elliptical aperture semi-major axis.
89,k_m_e,L,6.3f,mag,K Kron elliptical aperture magnitude.
90,k_msig_e,L,5.3f,mag,K 1-sigma uncertainty in Kron elliptical mag.
